[INFO] [2023-03-08 01:55:35,884] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/create
{"data":{"components":{"eval_0":{"need_run":true},"nn_0":{"need_run":true},"reader_0":{"need_run":true},"reader_1":{"need_run":true}}},"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,100] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/create
{"data":{"components":{"eval_0":{"need_run":true},"nn_0":{"need_run":true},"reader_0":{"need_run":true},"reader_1":{"need_run":true}}},"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,182] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/create
{"data":{"components":{"eval_0":{"need_run":true},"nn_0":{"need_run":true},"reader_0":{"need_run":false},"reader_1":{"need_run":false}}},"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,221] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/status/waiting
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,233] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/status/waiting
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,244] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/status/waiting
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,322] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/dependence/check
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,328] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/dependence/check
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,333] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/dependence/check
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,343] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/resource/apply
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,354] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/resource/apply
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,364] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/resource/apply
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,384] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,402] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/start
{"retcode":0,"retmsg":"success"}

